utility,event_year,label,filename,listing,source_url
SCE,2025,"November 9, 2025: SCE PSPS Post-Event Report",sce-nov-9-2025-psps-post-event-report.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/sce-nov-9-2025-psps-post-event-report.pdf
SCE,2026,"July 26, 2026: SCE PSPS Post-Event Report",r1812005-sce-psps-post-event-report-for-7-26-26-de-energization-event.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/r1812005-sce-psps-post-event-report-for-7-26-26-de-energization-event.pdf
SCE,2026,"July 22, 2026: SCE PSPS Post-Event Report",r1812005sce-psps-postevent-for-july-22-2026-deenergization.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/r1812005sce-psps-postevent-for-july-22-2026-deenergization.pdf
SCE,2026,"July 15, 2026: SCE PSPS Post-Event Report",r1812005sce-psps-postevent-report-for-july-15-2026-deenergization.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/r1812005sce-psps-postevent-report-for-july-15-2026-deenergization.pdf
SCE,2026,"June 26, 2026: SCE PSPS Post-Event Report",sce-psps-postevent-report-for-june-26-2026-deenergization.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/sce-2026/sce-psps-postevent-report-for-june-26-2026-deenergization.pdf
SDG&E,2017,"Dec. 14-15, 2017 Pro-Active De-Energization Post Event Report",sdge-de-energization-report-dec-14-15-2017.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-dec-14-15-2017.pdf
SDG&E,2017,"Dec. 4-12, 2017 Pro-Active De-Energization Post Event Report",sdge-de-energization-report-dec-4-2017.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-dec-4-2017.pdf
SDG&E,2017,"Oct. 20-21, 2017 Pro-Active De-Energization Post Event Report",sdge-de-energization-report-oct-20-21-2017.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-oct-20-21-2017.pdf
SDG&E,2017,"Sept. 21-22, 2017 Pro-Active De-Energization Post Event Report",sdge-de-energization-report-sept-21-22--2017.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-sept-21-22--2017.pdf
SDG&E,2017,"Oct. 23-25, 2017 Pro-Active De-Energization Post Event Report",sdgedeenergizationreportoct23252017.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdgedeenergizationreportoct23252017.pdf
